Table                                                  
By continen                                            
Country/RegTotal PopulMuslim PopuMuslim percPercentage Sources    
Tonga Tonga100651     < 1,000    < 0.1      < 0.1      
Trinidad an1356633    78000      5.8        < 0.1      
Tunisia Tun11446300   11190000   99.8       0.6        
Turkey Turk80810525   79,000,000 98.6 – 99.84.6        [278][279] 
Turkmenista5851466    4830000    93.3       0.3        
Turks and C37910      < 1,000    < 0.1      < 0.1      
Tuvalu Tuva10640      < 1,000    0.1        < 0.1      
Uganda Ugan38823100   5435234    14         0.3        [280]      
Ukraine Ukr42263873   390,000 - 10.9 - 2.5  < 0.1      [281][282] 
United Arab9541615    4615081    76         0.2        [283]      
                                                       
[284]                                                  
United King66040229   4130000    6.3        0.2        [62]       
United Stat327827000  3450000    1.1        0.2        [285]      
United Stat104914     < 1,000    0.1        < 0.1      
Uruguay Uru3505985    < 1,000    < 0.1      < 0.1      
Uzbekistan 32653900   26550000   96.5       1.7        [269]      
Vanuatu Van304500     < 1,000    < 0.1      < 0.1      
Vatican Cit800        0          0          0          
Venezuela V31304016   125216     0.4        < 0.1      [286]      
Vietnam Vie96160163   96160      0.1        < 0.1      [287][287] 
Wallis and 15714      < 1,000    < 0.1      < 0.1      [288]      
Western Sah603253     599633     99.4       < 0.1      [289][290] 
Yemen Yemen28036829   27784498   99.1       1.5        [291][292] 
Zambia Zamb16887720   168877     1          < 0.1      [89]       
Zimbabwe Zi14000000   100000     0.7        < 0.1      )[293]     
