"N","CN","CONTINENT","COUNTRY","2017","S","2019","S","","","","",""
"","1","Non-UN Member States","","ILLEGAL","6","ILLEGAL","6","","","","",""
"","","","","DE FACTO ILLEGAL","0","DE FACTO ILLEGAL","0","","","","",""
"","ILLEGAL","","","","","","","","","","",""
"","LEGAL","","","","","What happened between 2017 and 2019?","","","","","",""
"","DE FACTO ILLEGAL","","","","","T & Tobago","Dec","","","","",""
"","","","","","","India","Dec","","","","",""
"","","","","","","Angola","Dec","","","","",""
"","","","","","","Chad","Crim","","","","",""
"","","","","","","Cote D'Ivoire","DF Crim","","","","",""
"","","","","","","DRC","DF Crim","","","","",""
"","","","","","","Iraq","DF Crim","","","","",""
